scenario_id,method,geometry_valid_fraction,jacobian_rank,geometry_valid,failure_reason,redundant,reference_count,condition_number,hull_contains_tag,crlb_crlb_x_m,crlb_crlb_y_m,crlb_crlb_z_m
scenario-000083,UWB_SS_TWR,1.0,3,True,,True,8,2.631309345862642,True,1.643308650411101,1.70772666872389,3.5229575121524124
scenario-000084,UWB_DS_TWR,1.0,3,True,,True,8,2.631309345862642,True,1.643308650411101,1.70772666872389,3.5229575121524124
scenario-000085,UWB_DS_TWR,1.0,3,True,,True,8,2.631309345862642,True,1.643308650411101,1.70772666872389,3.5229575121524124
scenario-000086,UWB_DS_TWR,1.0,3,True,,True,8,2.631309345862642,True,1.643308650411101,1.70772666872389,3.5229575121524124
scenario-000087,UWB_DS_TWR,1.0,3,True,,True,8,2.631309345862642,True,1.643308650411101,1.70772666872389,3.5229575121524124
scenario-000088,TDOA,1.0,3,True,,True,8,4.418356608936134,,1.7617145494418167,1.7104584226408133,3.678142381596337
scenario-000089,TDOA,1.0,3,True,,True,8,4.418356608936134,,1.7617145494418167,1.7104584226408133,3.678142381596337
scenario-000090,TDOA,1.0,3,True,,True,8,4.418356608936134,,1.7617145494418167,1.7104584226408133,3.678142381596337
scenario-000091,TDOA,1.0,3,True,,True,8,4.418356608936134,,1.7617145494418167,1.7104584226408133,3.678142381596337
scenario-000092,SX1280_RANGING,1.0,3,True,,True,8,2.631309345862642,True,1.643308650411101,1.70772666872389,3.5229575121524124
scenario-000093,SX1280_RANGING,1.0,3,True,,True,8,2.631309345862642,True,1.643308650411101,1.70772666872389,3.5229575121524124
scenario-000094,SX1280_RANGING,1.0,3,True,,True,8,2.631309345862642,True,1.643308650411101,1.70772666872389,3.5229575121524124
scenario-000095,SX1280_RANGING,1.0,3,True,,True,8,2.631309345862642,True,1.643308650411101,1.70772666872389,3.5229575121524124
